oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,host_offset_bestguess,bestguess_offset,index
ZTF22abkzawc,WISEA J033604.56+014311.0,54.01913,1.71906,5.453416646294634,NED,False,0.041444,NULL,PHOT,9.0,0.2476212986062095,5.544719903511194,NULL
ZTF22abkyznc,WISEA J021158.44-264338.4,32.99339,-26.72745,1.2213511184924584,NED,False,NULL,NULL,NULL,10.0,1.1604913848047154,1.2623726274413265,NULL
ZTF22abkxbeo,2MASX J01232934+0113044,20.87225833333333,1.2178916666666668,2.3269848500997794,Simbad,True,0.01767,2.999999924213625e-05,C,11.0,1.2599267187744922,3.1965630983750004,NULL
ZTF22abkwurn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.0,NULL,NULL,NULL
ZTF22abkwgat,SDSS J013658.34+340807.8,24.2430919484504,34.135504776621,1.0463075123394907,SDSSDR16,False,0.028876,0.078764,photoz,13.0,0.3330597549064069,1.3688582294040526,NULL
ZTF22abktqdv,SDSS J153944.79+434033.2,234.936628316621,43.6759093884489,3.983548787150049,SDSSDR16,False,0.100724,0.025045,photoz,14.0,0.3842025563746119,3.638411136254133,NULL
ZTF22abksusw,LEDA 1615962,156.93839583333332,20.089116666666666,4.278922166575103,Simbad,True,0.08095,9.999999747378752e-06,C,15.0,0.2267821442576598,4.201760294320918,NULL
ZTF22abkstza,2MASX J10274820+1707562,156.95099,17.1324475,4.396975142482819,Simbad,True,0.04211,9.999999747378752e-05,C,16.0,0.4643161195652593,3.977750124369688,NULL
ZTF22abksmqa,SDSS J105327.71+395153.5,163.365440771333,39.8648691717492,0.3221108958459689,SDSSDR16,False,0.263438,0.128979,photoz,17.0,0.3846319155019299,0.1903252240447269,NULL
ZTF22abkskzh,SDSS J111722.76+415140.4,169.344837266804,41.8612220317767,2.357543616405077,SDSSDR16,True,0.05969634,8.977458e-06,specz,18.0,0.7518363484416619,2.870580015343549,NULL
ZTF22abksiol,SDSS J110803.38+434652.8,167.014088386389,43.7813589889694,0.1632928166287683,SDSSDR16,False,0.549115,0.139926,photoz,20.0,0.1066505360139972,0.2648887153863847,1.0
