oid,index,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF22aadexbm,49,WISEA J151200.52+212611.1,228.00223,21.43646,0.2418484453556277,NED,NULL,NULL,NULL,NULL
ZTF22aadewnj,50,SDSS J153415.97+242637.2,233.566546636749,24.443671510495,1.581498816598519,SDSSDR16,False,0.353585,0.112352,photoz
ZTF22aadewky,51,WISEA J153500.78+225152.7,233.75322,22.86455,2.409123089541667,NED,True,0.117836,NULL,SPEC
ZTF22aadevyb,52,2MASX J15292078+2820124,232.33662,28.33678,3.5181911169058457,NED,True,0.072337,NULL,NULL
ZTF22aadevnv,53,SDSS J154638.19+261722.8,236.659139437439,26.289679944595,1.7022526533197762,SDSSDR16,False,0.123905,0.026603,photoz
ZTF22aadeuxk,54,WISEA J152216.90+292520.9,230.57047,29.42246,5.882335631977649,NED,True,0.115179,NULL,NULL
ZTF22aadeuqi,55,SDSS J151752.17+283738.8,229.467395106907,28.6274566796053,1.5344298404540548,SDSSDR16,False,0.120277,0.060196,photoz
ZTF22aadeupk,56,WISEA J152313.65+232301.3,230.8069,23.38375,0.9233661139674147,NED,True,0.100776,NULL,SPEC
ZTF22aadeubq,57,SDSS J154717.41+310830.7,236.822550072455,31.1418690541733,0.9971603339583516,SDSSDR16,False,0.273989,0.090023,photoz
ZTF22aadetzs,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aadeths,59,SDSS J163342.01+325000.2,248.425042767599,32.8334007658459,0.2042595742035612,SDSSDR16,False,0.229007,0.06563,photoz
ZTF22aadeteg,60,SDSS J165934.78+431037.0,254.894910931968,43.1769441071879,1.740910498167452,SDSSDR16,False,0.098789,0.036409,photoz
ZTF22aadetdt,61,WISEA J154438.73+412215.7,236.16143,41.37106,1.3955078102080605,NED,True,0.062473,NULL,SPEC
ZTF22aadesog,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aadesnf,63,SDSS J155026.43+445608.3,237.61016,44.93565,2.077894554101658,NED,NULL,NULL,NULL,NULL
ZTF22aadesjt,64,SDSS J152521.97+415530.7,231.341526629593,41.9252121235218,0.8434074522074881,SDSSDR16,False,0.149039,0.032577,photoz
ZTF22aadesjc,65,SDSS J153342.44+434445.5,233.42681682615,43.7459865938266,0.6427848983501478,SDSSDR16,False,0.200523,0.036853,photoz
ZTF22aadeshc,66,2MASX J15372820+5106344,234.36772,51.10964,2.109248166444281,NED,True,0.071585,NULL,SPEC
ZTF22aadesfu,67,SDSS J144832.67+413014.3,222.136135098755,41.503978816152,0.895402130167338,SDSSDR16,False,0.111448,0.031483,photoz
ZTF22aadesap,68,SDSS J153103.70+532419.3,232.765432352234,53.4053678276983,0.3598511906302875,SDSSDR16,False,0.112765,0.033041,photoz
ZTF22aadervr,69,SDSS J151440.08+501650.0,228.666985523512,50.2805629823491,0.4795599511470574,SDSSDR16,False,0.104921,0.036312,photoz
ZTF22aaderqn,70,SDSS J160847.00+555511.5,242.195844224456,55.9198818915468,3.5479108642105848,SDSSDR16,False,0.165505,0.034391,photoz
ZTF22aaderpg,71,WISEA J151636.38+475816.0,229.15158,47.97107,3.6167580181611263,NED,True,0.099472,NULL,SPEC
ZTF22aadeqoe,72,SDSS J161535.97+614150.9,243.899893092211,61.6974864923703,1.5161610579891258,SDSSDR16,False,0.086273,0.015866,photoz
ZTF22aadeqil,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aadeqgb,74,SDSS J161250.10+593037.4,243.208735050425,59.5103975911875,3.41771592556452,SDSSDR16,False,0.08805,0.021393,photoz
ZTF22aadeloc,75,SDSS J142636.52-013103.0,216.65218,-1.51751,5.917911453778718,NED,True,0.092647,NULL,SPEC
ZTF22aadeioj,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aadedzf,77,WISEA J130542.42+070937.5,196.42668,7.16036,3.144049038516315,NED,True,0.062127,NULL,SPEC
ZTF22aadedjt,78,WISEA J131457.83-050245.4,198.74092,-5.04592,6.077744620378525,NED,NULL,NULL,NULL,NULL
ZTF22aadebxt,79,WISEA J130836.15-012304.6,197.15062,-1.38461,0.8660879306649552,NED,True,0.134901,NULL,SPEC
ZTF22aadduiq,80,SDSS J154106.90+634223.3,235.27875856581,63.7064900133714,1.0409603958408449,SDSSDR16,False,0.135302,0.025369,photoz
ZTF18aazjflo,81,CGCG 222-006,231.46417,38.77051,0.0801741948663761,NED,True,0.044142,NULL,SPEC
