oid,level_0,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF21aaygqqa,0,SDSS J233258.98+235835.3,353.245740216559,23.9764807224352,1.0310296462001611,SDSSDR16,False,0.060487,0.013008,photoz,NULL
ZTF21aaygqkb,1,NGC 7775,358.10188,28.77267,11.776442977309625,NED,True,0.022549,NULL,NULL,NULL
ZTF21aaygqjc,2,SDSS J000521.66+272909.8,1.3402399288816,27.486056997449303,6.94967600182888,SDSSDR16,False,0.067976,0.015393,photoz,NULL
ZTF21aaygqix,3,KUG 0012+260,3.72871,26.33142,4.6359990925249575,NED,True,0.024544,NULL,NULL,NULL
ZTF21aaygmrl,4,WISEA J181949.35+561011.3,274.95544,56.170190000000005,11.76844791238292,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aaygmiu,5,WISEA J183034.09+230747.6,277.64207000000005,23.129920000000002,3.768393720611325,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aaygmif,6,WISEA J193216.51+382754.1,293.06878,38.465,1.007602282353021,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aaygkho,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaygkgw,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaygiio,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aayggyo,10,SDSS J164556.19+022733.0,251.484134584507,2.4591726475692703,0.6177186176227478,SDSSDR16,False,0.089414,0.025701,photoz,NULL
ZTF21aaygcnm,11,WISEA J154037.66+715503.3,235.15693,71.91747,4.806791396336414,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aayfwem,12,WISEA J173926.21+360202.7,264.85929,36.03403,1.0140312305077992,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aayfwad,13,WISEA J182443.76+485104.7,276.18237,48.85133,2.2043680435976407,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aayfrzu,14,SDSS J164926.68+322023.4,252.36114626119098,32.3398567900975,1.254369028942228,SDSSDR16,False,0.563786,0.075655,photoz,NULL
ZTF21aayfruq,15,SDSS J170653.56+302134.1,256.723165234304,30.3594826695276,1.8318181607722783,SDSSDR16,False,0.092669,0.030569,photoz,NULL
ZTF21aayfrjs,16,SDSS J164304.42+371356.0,250.768408582138,37.2322450100005,2.7351123857210946,SDSSDR16,False,0.108339,0.04722,photoz,NULL
ZTF21aayfnjz,17,SDSS J132759.26+242254.7,201.996924072665,24.3818807160752,1.3651223069293297,SDSSDR16,False,0.053438,0.040605,photoz,NULL
ZTF21aayfmbv,18,SDSS J103509.01+642702.5,158.787537596707,64.4507012635613,0.2399568944495067,SDSSDR16,True,0.03355464,7.4020820000000014e-06,specz,NULL
ZTF21aayfioh,19,WISEA J163335.32+344113.2,248.39692000000002,34.68703,4.884959431900696,NED,True,0.148264,NULL,NULL,NULL
ZTF21aayfiim,20,SDSS J164634.17+264730.9,251.64237660213504,26.7919351109947,0.497336286218244,SDSSDR16,False,0.094178,0.025839,photoz,NULL
ZTF21aayfder,21,NGC 5555,214.70032999999998,-19.138920000000002,10.423325621122528,NED,True,0.036515,NULL,NULL,NULL
ZTF21aayeyga,22,SDSS J113405.87+710823.2,173.524474218329,71.1397961624153,4.925141746938629,SDSSDR16,False,0.056303,0.016084,photoz,NULL
ZTF21aayehwu,23,SDSS J102525.80+453320.2,156.357492853474,45.555614298471696,1.8346204822265133,SDSSDR16,False,0.202048,0.042132,photoz,NULL
ZTF21aayebgc,24,SDSS J150600.22+594538.7,226.500931443418,59.760762178578304,0.5537566459111319,SDSSDR16,False,0.251786,0.116885,photoz,NULL
ZTF21aaydzcm,25,SDSS J133655.63+100258.8,204.23178863683498,10.049678828045801,2.826680412210905,SDSSDR16,False,0.137785,0.028988,photoz,NULL
ZTF21aaydxoo,26,NGC 5231,203.95103999999998,2.99892,5.9241602618895115,NED,True,0.021759,NULL,NULL,NULL
